positionName,companyShortName,salary,createTime,companyId,companyFullName,companyLabelList,financeStage,positionLables,skillLables,education,district,workYear
数据挖掘算法工程师（信贷风控）-01376,同盾科技,10k-20k,2019-12-09 18:07:16,6502,同盾科技有限公司,"['技能培训', '股票期权', '绩效奖金', '岗位晋升']",C轮,"['Spark', '算法', '数据挖掘']","['Spark', '算法', '数据挖掘']",本科,徐汇区,3-5年
算法工程师（2020校招）,莉莉丝游戏,10k-20k,2019-12-09 15:14:28,1938,上海莉莉丝科技股份有限公司,"['都是萌妹子', '项目奖金', '零食无限量', '牛逼的同事']",不需要融资,"['游戏', '算法']",['算法'],不限,闵行区,应届毕业生
大数据开发/数据挖掘/数据分析工程师,上海海笛数字出版科技有限公司,8k-14k,2019-12-09 13:30:36,1457,上海海笛数字出版科技有限公司,"['弹性工作', '岗位晋升', '专项技能培训', '扁平管理']",未融资,"['大数据', '算法', '搜索', '数据挖掘', '数据分析']","['算法', '搜索', '数据挖掘', '数据分析']",本科,浦东新区,1-3年
高级算法工程师,达达-京东到家,20k-30k,2019-12-09 13:49:41,32836,达疆网络科技（上海）有限公司,"['弹性工作', '股票期权', '扁平管理', '技术氛围浓厚']",D轮及以上,"['算法', '机器学习', '图像处理']","['算法', '机器学习', '图像处理']",硕士,杨浦区,3-5年
算法工程师（派单和路径规划）,达达-京东到家,20k-40k,2019-12-09 16:30:15,32836,达疆网络科技（上海）有限公司,"['弹性工作', '股票期权', '扁平管理', '技术氛围浓厚']",D轮及以上,"['人工智能', '机器学习', '算法']","['人工智能', '机器学习', '算法']",本科,浦东新区,1-3年
大数据挖掘开发工程师,上海米哈游,20k-40k,2019-12-09 10:04:30,7872,上海米哈游网络科技股份有限公司,"['技术宅团队', '发展空间大', '简单有爱文化', '弹性工作制']",不需要融资,"['Hadoop', '数据挖掘', 'Hive']","['Hadoop', '数据挖掘', 'Hive']",本科,徐汇区,3-5年
广告算法高级工程师,达达-京东到家,25k-45k,2019-12-09 13:49:41,32836,达疆网络科技（上海）有限公司,"['弹性工作', '股票期权', '扁平管理', '技术氛围浓厚']",D轮及以上,"['本地生活', '广告营销', '算法', '推荐', '深度学习']","['算法', '推荐', '深度学习']",本科,杨浦区,3-5年
高级算法-数据挖掘工程师,商涌网络,25k-50k,2019-12-09 13:11:52,303426,上海商涌网络科技有限公司,"['带薪年假', '定期体检', '年底双薪', '股票期权']",A轮,"['算法', '数据挖掘', '建模', '机器学习']","['算法', '数据挖掘', '建模', '机器学习']",本科,浦东新区,3-5年
数据挖掘算法工程师（intern01）,MarcPoint,4k-5k,2019-12-09 10:19:36,41486,上海宏原信息科技有限公司,"['活力氛围', '扁平管理', '五险一金', '弹性工作']",A轮,"['大数据', '算法', '数据挖掘']","['算法', '数据挖掘']",硕士,徐汇区,应届毕业生
positionName,companyShortName,salary,createTime,companyId,companyFullName,companyLabelList,financeStage,positionLables,skillLables,education,district,workYear
算法工程师,平安健康互联网,22k-32k,2019-12-08 00:00:19,105718,平安健康互联网股份有限公司上海分公司,"['技能培训', '节日礼物', '带薪年假', '定期体检']",上市公司,"['医疗健康', '移动互联网']",[],不限,徐汇区,3-5年
高级数据挖掘,小赢科技,25k-30k,2019-12-09 16:04:28,24587,深圳市小赢科技有限责任公司,"['五险一金', '两餐补助', '超低息员工贷', '年底奖金']",上市公司,"['互联网金融', '借贷', '数据库', 'SQLServer', '算法', 'Spark']","['数据库', 'SQLServer', '算法', 'Spark']",本科,黄浦区,3-5年
